rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
177,16263,Allen Robinson II,DET,WR,3,30,0,9.5,10.8,7.3,51,4.2,17,7,0,0,5.7,1.9,0.8
178,21005,Parris Campbell,PHI,WR,6,30,1,8.0,12.5,1.6,13,2.6,2,8,1,0,7.2,6.4,1.9
179,23148,David Bell,CLE,WR,3,27,0,0.0,0.0,0.0,0,0.0,0,3,1,0,6.7,9.1,1.9
180,19816,DJ Chark,LAC,WR,3,25,0,13.8,10.8,2.6,18,3.0,6,7,0,0,5.7,2.6,0.8
181,25126,Anthony Gould,IND,WR,1,23,0,2.5,2.0,18.0,18,2.2,18,1,0,0,10.0,0.5,3.3
182,22627,Ronnie Bell,SF,WR,2,22,0,22.7,19.1,10.8,65,7.2,33,6,1,0,5.8,2.4,0.7
183,24984,Jamari Thrash,CLE,WR,3,22,0,20.0,24.0,7.3,51,5.7,17,7,0,0,7.1,1.9,0.7
184,21723,James Proche II,CLE,WR,3,21,0,1.9,2.0,6.0,18,2.0,6,3,0,0,7.5,1.0,1.0
185,24978,Devontez Walker,BAL,WR,1,21,1,7.0,8.8,28.0,84,9.3,84,3,0,1,5.8,1.4,3.0
186,23746,Deven Thompkins,CAR,WR,4,20,0,13.6,9.4,-2.0,-8,-1.1,-2,4,1,0,7.5,1.9,1.7
187,22417,Kristian Wilkerson,LV,WR,2,18,1,18.2,21.6,5.3,16,5.3,8,3,3,1,7.5,2.8,3.3
188,22415,Mason Kinsey,TEN,WR,2,17,0,6.2,6.5,8.5,17,2.8,9,2,0,0,7.5,1.0,1.9
189,22488,Chris Blair,ATL,WR,1,17,0,4.6,8.7,8.5,17,4.2,17,2,0,0,5.0,1.6,1.4
190,16837,Chris Conley,SF,WR,2,17,0,19.6,23.2,20.0,160,11.4,80,8,0,1,5.3,2.1,0.5
191,24979,Malachi Corley,NYJ,WR,3,16,0,15.5,15.4,8.3,50,5.5,17,6,2,1,5.0,2.1,0.9
192,19864,Anthony Miller,BAL,WR,1,16,0,0.0,0.0,0.0,0,0.0,0,1,0,0,,2.6,2.6
