rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
88,25513,Cam Grandy,CIN,TE,5,28,0,2.6,7.6,1.6,8,1.0,2,5,2,0,7.5,1.5,1.6
89,24985,Ben Sinnott,WAS,TE,5,28,1,11.7,26.3,1.8,9,0.5,2,5,1,0,8.5,1.0,2.8
90,23310,Greg Dulcich,NYG,TE,5,28,0,26.9,26.5,5.9,71,7.9,14,12,1,0,5.0,4.0,0.7
91,22517,Peyton Hendershot,KC,TE,3,26,0,3.8,8.3,3.7,11,1.8,4,3,1,0,7.5,1.4,1.9
92,23084,Shane Zylstra,DET,TE,1,22,0,7.4,9.9,9.0,9,0.8,9,1,0,0,10.0,0.3,3.2
93,25099,Dallin Holker,NO,TE,3,21,0,6.2,9.5,9.0,36,3.0,12,4,0,0,6.2,1.1,1.3
94,25104,Jaheim Bell,NE,TE,2,20,0,5.5,8.2,7.7,23,1.5,12,3,0,0,7.5,0.7,1.3
95,23737,Tanner Conner,MIA,TE,3,16,0,4.5,4.4,11.5,46,5.8,15,4,1,0,,1.8,1.1
96,22511,Quintin Morris,BUF,TE,2,16,1,5.8,14.0,15.8,63,4.2,32,4,1,2,4.2,0.9,2.4
97,21798,Josiah Deguara,JAX,TE,3,14,0,3.3,7.1,0.0,0,0.0,0,3,2,0,7.5,0.7,1.5
98,17762,Chris Manhertz,NYG,TE,2,14,1,3.4,28.1,4.3,13,0.8,7,3,1,1,5.8,0.6,3.1
99,22498,Feleipe Franks,CAR,TE,1,12,0,2.5,4.2,16.3,49,3.1,49,3,0,0,6.2,0.6,0.7
100,22661,Jack Stoll,MIA,TE,2,10,0,6.1,21.5,1.7,5,0.5,3,3,0,0,5.8,1.0,1.0
101,17223,Eric Tomlinson,LAC,TE,2,9,0,0.0,0.0,0.0,0,0.0,0,4,1,0,,1.6,0.7
102,17005,Geoff Swaim,CLE,TE,1,7,0,4.3,19.0,2.0,2,0.2,2,1,0,0,7.5,0.3,1.7
103,22506,Brevin Jordan,HOU,TE,2,7,0,24.0,46.4,0.3,1,0.5,1,3,0,0,5.8,4.6,0.9
104,24800,E.J. Jenkins,PHI,TE,1,7,1,7.3,12.4,4.5,9,0.8,9,2,2,0,7.5,0.7,3.9
105,25112,Jared Wiley,KC,TE,1,7,0,5.9,16.8,4.0,4,0.6,4,1,0,0,7.5,0.5,1.7
106,19910,Ian Thomas,CAR,TE,3,7,0,13.3,32.0,4.0,24,4.8,8,6,1,0,5.4,4.4,0.6
107,25647,David Martin-Robinson,TEN,TE,1,6,0,5.3,13.6,0.0,0,0.0,0,2,0,0,6.2,1.3,0.8
108,22667,Zach Davidson,BUF,TE,1,5,0,0.0,0.0,0.0,0,0.0,0,2,1,0,5.0,2.1,0.8
109,20361,Ross Dwelley,ATL,TE,1,5,0,2.5,9.2,1.0,1,0.1,1,1,0,0,10.0,0.2,1.5
110,21383,Jody Fortson,KC,TE,1,5,0,14.7,16.1,1.3,4,1.3,4,3,1,1,4.2,3.2,0.5
111,3061,Marcedes Lewis,CHI,TE,1,2,0,3.0,19.5,0.5,1,0.1,1,2,0,0,7.5,0.4,0.6
112,23614,John FitzPatrick,GB,TE,1,2,0,0.9,12.4,2.0,2,0.2,2,1,0,0,5.0,0.5,1.2
113,23711,Rodney Williams,PIT,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
114,24444,Travis Vokolek,ARI,TE,0,0,0,0.0,20.3,0.0,0,0.0,,0,0,0,,0.0,0.0
115,24617,Princeton Fant,DAL,TE,0,0,0,0.0,1.6,0.0,0,0.0,,0,0,0,,0.0,0.0
116,23662,Jake Tonges,SF,TE,0,0,0,1.9,2.4,0.0,0,0.0,,0,0,0,,0.0,0.0
117,24149,Brayden Willis,SF,TE,0,0,0,0.0,0.7,0.0,0,0.0,,2,0,0,6.2,0.7,0.0
118,23618,Ko Kieft,TB,TE,0,0,0,1.0,8.2,0.0,0,0.0,,0,0,0,,0.0,0.0
119,25486,Brenden Bates,CLE,TE,0,0,0,3.4,8.7,-2.0,-2,-0.3,,1,0,0,2.5,0.4,0.0
120,20949,Irv Smith Jr.,HOU,TE,0,0,0,8.3,23.4,0.0,0,0.0,,0,0,0,,0.0,0.0
121,25328,Baylor Cupp,KC,TE,0,0,0,0.0,6.0,0.0,0,0.0,,1,0,0,10.0,2.8,0.0
122,19296,Anthony Firkser,KC,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
123,23355,Teagan Quitoriano,HOU,TE,0,0,0,8.9,18.8,0.0,0,0.0,,0,0,0,,0.0,0.0
124,21865,Stephen Sullivan,CAR,TE,0,0,0,4.2,11.4,16.0,16,16.0,,1,0,0,2.5,2.4,0.0
125,19491,Robert Tonyan,MIN,TE,0,0,0,1.3,1.3,0.0,0,0.0,,0,0,0,,0.0,0.0
126,23415,Nikola Kalinic,LAR,TE,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
