rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
325,21138,Scotty Miller,WR,PIT,0,0,2,0,0,0,0,2,,,0,,,4,1,0,0,,0.0,0.0,0,0,2.4,0.7,5,9
326,19755,River Cracraft,WR,MIA,,,,,,,,,,0,0,0,0,,1,3,1,4,7.9,2.7,6,8,3.1,1.1,7,9
327,24354,Blake Whiteheart,TE,CLE,,0,0,3,0,,,,,,,1,1,1,1,0,1,1,1.7,0.7,2,2,2.2,0.8,6,9
328,25687,Bryce Oliver,WR,TEN,,,,,,,,,0,2,1,0,0,1,2,0,0,3,3.3,1.0,1,3,2.9,0.9,6,9
329,25079,Kimani Vidal,RB,LAC,,,,,,2,1,0,0,,,,0,1,3,0,2,0,1.9,0.7,0,2,2.8,0.9,5,9
330,23144,Ainias Smith,WR,PHI,,,,,,,,0,1,2,0,0,,,,,0,6,10.0,3.0,4,6,5.1,1.3,7,9
331,22509,Hunter Long,TE,LAR,0,0,0,0,2,,1,1,1,0,0,0,1,1,2,0,0,0,0.0,0.0,0,0,1.6,0.5,7,9
332,23119,Treylon Burks,WR,TEN,2,1,3,1,,1,,,,,,,,,,,,,3.7,1.0,0,0,5.6,1.6,4,8
333,24021,Tucker Fisk,TE,LAC,,,,,,,,,,0,2,1,1,1,1,1,1,0,1.9,0.7,2,2,2.8,0.9,7,8
334,22539,Zamir White,RB,LV,2,4,0,1,,,1,0,0,,0,,,,,,,,0.0,0.0,0,0,2.8,1.0,6,8
335,22511,Quintin Morris,TE,BUF,0,0,0,0,0,0,0,0,1,0,1,,1,,0,0,1,4,5.6,1.7,3,5,1.7,0.5,5,8
336,21349,Ashton Dulin,WR,IND,1,2,1,0,0,1,0,0,2,0,0,1,,,,0,0,0,0.0,0.0,0,0,1.8,0.5,2,8
337,22514,Kenny Yeboah,TE,NYJ,,,,,,,,,1,1,1,,0,0,0,1,2,2,4.5,1.7,2,5,2.5,0.9,5,8
338,23302,Britain Covey,WR,PHI,0,6,1,,,,,,,,,0,1,,,,,,5.3,1.0,0,0,5.6,1.6,7,8
339,23143,Will Mallory,TE,IND,,,,0,1,1,1,2,0,1,,,1,,1,0,,,0.0,0.0,0,0,2.6,0.8,4,8
340,23469,Tyquan Thornton,WR,NE,3,0,1,1,0,,,3,,,,,,,,,,,10.0,3.0,0,0,4.6,1.3,4,8
341,23487,Connor Heyward,TE,PIT,0,0,1,0,4,1,0,0,,0,0,0,0,0,0,1,1,0,2.0,0.7,2,2,1.6,0.5,6,8
342,18957,D'Onta Foreman,RB,CLE,0,1,0,1,1,2,0,0,,,,,,,,0,2,1,2.6,1.0,1,3,2.0,0.7,6,8
343,21005,Parris Campbell,WR,PHI,,0,2,4,,,1,,,,,,1,,,,,,5.3,1.0,0,0,6.1,1.6,6,8
344,24238,Kendre Miller,RB,NO,,,,,,,3,0,,,,,,1,1,2,1,,4.5,1.5,3,3,3.8,1.3,5,8
345,24116,Blake Corum,RB,LAR,0,0,0,0,1,,0,1,0,1,1,0,0,0,3,0,0,1,1.1,0.3,1,1,1.4,0.5,7,8
346,24984,Jamari Thrash,WR,CLE,,,,,,,0,,0,,1,0,2,,1,1,1,1,2.6,1.0,0,3,1.8,0.8,3,7
347,23199,Sincere McCormick,RB,LV,,,,,0,,,,,,,0,2,3,2,,,,5.1,2.0,0,0,3.5,1.4,6,7
348,25141,Tip Reiman,TE,ARI,0,0,0,0,1,0,1,0,0,0,,0,1,1,3,0,0,0,0.0,0.0,0,0,1.3,0.4,6,7
349,16263,Allen Robinson II,WR,DET,,,0,,,1,,1,1,0,2,0,0,0,1,0,1,,1.5,0.5,1,1,1.8,0.6,3,7
350,25144,Devin Culp,TE,TB,,,,,,,0,0,,,,,,,,0,4,2,5.6,2.0,5,6,3.0,1.2,5,6
351,22685,Terrace Marshall Jr.,WR,LV,,,,,,,,,,,0,,1,1,1,1,2,0,2.8,1.0,1,3,2.3,0.9,3,6
352,24981,Jacob Cowing,WR,SF,0,0,0,0,,0,3,0,,0,0,,0,1,0,0,0,2,1.6,0.7,2,2,1.3,0.4,4,6
353,24343,Nikko Remigio,WR,KC,,,,,,,,,,,,,,0,0,0,0,6,6.2,2.0,2,6,3.5,1.2,2,6
354,22547,Ronnie Rivers,RB,LAR,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5,5.4,1.7,4,5,1.1,0.4,5,6
355,24923,Jaylen Wright,RB,MIA,,0,0,1,0,,0,0,0,0,1,1,0,3,0,,0,0,0.0,0.0,0,0,1.2,0.4,3,6
356,21852,Ty Chandler,RB,MIN,3,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.1,0.4,6,6
357,24979,Malachi Corley,WR,NYJ,0,1,0,,,,,0,0,2,1,,2,,,,0,,0.0,0.0,0,0,2.1,0.7,3,6
358,19910,Ian Thomas,TE,CAR,,,,,,3,2,0,0,1,,,,,,,,,4.0,1.0,0,0,4.1,1.2,3,6
359,18652,C.J. Ham,FB,MIN,2,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,2,0,2.5,1.0,3,3,1.1,0.4,5,6
360,22627,Ronnie Bell,WR,SF,0,0,3,,0,0,2,1,,0,,0,,,,,,,0.0,0.0,0,0,2.1,0.7,2,6
361,24292,Trey Benson,RB,ARI,1,1,0,0,,0,0,0,1,2,,0,0,1,0,,,,0.0,0.0,0,0,1.5,0.5,6,6
362,19209,Patrick Ricard,FB,BAL,0,1,0,0,0,0,1,0,1,0,1,0,0,,0,0,0,1,1.4,0.3,1,1,1.0,0.3,3,5
363,20239,Gus Edwards,RB,LAC,1,0,0,0,,,,,,0,0,1,1,0,0,2,,,6.5,2.0,1,2,1.7,0.5,3,5
364,22892,Tim Jones,WR,JAX,0,0,0,0,0,0,0,2,2,0,0,,0,0,0,0,1,0,1.1,0.3,1,1,0.9,0.3,3,5
365,24533,Ben Sims,TE,GB,0,0,0,0,0,2,1,1,0,,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1.0,0.3,4,5
366,22590,Ben Skowronek,WR,PIT,0,0,,,,,,,,0,1,0,1,0,1,2,,0,3.1,1.0,2,2,1.7,0.5,5,5
367,24188,Deuce Vaughn,RB,DAL,0,1,2,0,,,,,0,,2,,,,,,,0,0.0,0.0,0,0,1.7,0.7,3,5
368,24985,Ben Sinnott,TE,WAS,0,0,0,0,0,0,2,0,1,0,0,0,1,,1,0,0,0,0.0,0.0,0,0,1.0,0.3,5,5
369,21697,Laviska Shenault Jr.,WR,SEA,1,1,1,1,0,0,0,1,0,,0,,0,,0,,,,0.0,0.0,0,0,1.1,0.4,5,5
370,21564,Craig Reynolds,RB,DET,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,2,2,5.1,1.7,3,5,0.9,0.3,3,5
371,24457,Scott Matlock,FB,LAC,1,0,0,1,,0,0,1,0,0,0,0,1,0,0,1,0,0,0.9,0.3,1,1,1.0,0.3,4,5
372,24971,Audric Estime,RB,DEN,0,,,,,0,0,0,0,0,3,0,0,,1,0,1,0,1.0,0.3,1,1,1.1,0.4,5,5
373,25513,Cam Grandy,TE,CIN,,,,,,,,,,1,0,,0,0,2,0,1,1,1.6,0.7,2,2,1.4,0.6,5,5
374,21769,Clyde Edwards-Helaire,RB,NO,,,,,,,,,,,,,,,,,4,1,6.4,2.5,3,5,6.4,2.5,3,5
375,22517,Peyton Hendershot,TE,KC,,0,,,,,,,1,1,1,0,,,,,0,2,3.6,1.0,2,2,2.1,0.7,5,5
376,23737,Tanner Conner,TE,MIA,0,0,2,2,0,,0,,0,0,,,,,,,,,0.0,0.0,0,0,1.6,0.5,3,4
377,25040,Javon Baker,WR,NE,,0,0,,,,,0,0,0,0,1,0,,,1,1,1,3.3,1.0,1,3,1.2,0.4,1,4
378,22345,Dan Chisena,WR,CAR,,,,,,,,,,,,0,1,0,,2,1,0,3.4,1.0,2,3,2.0,0.7,3,4
379,17223,Eric Tomlinson,TE,LAC,0,1,0,0,,0,1,1,1,,,,,,0,,,,0.0,0.0,0,0,1.5,0.4,2,4
380,23746,Deven Thompkins,WR,CAR,,,,,,,,,0,0,,3,0,1,0,0,,,0.0,0.0,0,0,1.8,0.6,4,4
381,25099,Dallin Holker,TE,NO,,,,,0,0,0,,0,0,0,,0,1,0,0,0,3,2.8,1.0,2,3,1.0,0.3,3,4
382,24373,Kenny McIntosh,RB,SEA,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,1,0,1,2.2,0.7,1,2,0.7,0.2,3,4
383,25102,Will Shipley,RB,PHI,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4,5.8,2.0,4,4,0.9,0.2,4,4
384,20038,Braxton Berrios,WR,MIA,2,1,1,0,0,,0,,,,,,,,,,,,0.0,0.0,0,0,2.1,0.7,0,4
385,18187,Robbie Chosen,WR,MIA,0,4,,,,,,,,,,,,,,,,,10.3,4.0,0,0,5.3,2.0,1,4
386,24331,Grant DuBose,WR,MIA,0,3,,,,,,,,,,,,,1,,,,2.5,1.0,0,0,3.4,1.3,2,4
387,17762,Chris Manhertz,TE,NYG,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,1,1,2.2,0.7,2,2,0.7,0.2,3,4
388,23004,Adam Prentice,FB,NO,0,1,0,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0.9,0.3,0,1,0.7,0.2,0,4
389,23223,Dameon Pierce,RB,HOU,0,,,,,1,0,0,,,0,0,1,,0,0,0,2,2.0,0.7,0,2,1.1,0.4,2,4
390,23148,David Bell,WR,CLE,,3,,,,,,,,,,,,,,,,,8.8,3.0,0,0,8.8,3.0,3,3
391,21964,Cody White,WR,SEA,,,,,,,,,3,,0,0,0,,,,,,0.0,0.0,0,0,2.3,0.8,2,3
392,25498,Ramel Keyton,WR,LV,,,,,,,,,2,,1,0,,0,0,0,0,0,0.0,0.0,0,0,1.0,0.4,1,3
393,20360,Jeff Wilson Jr.,RB,MIA,0,2,0,0,0,,,,,,,,0,1,,0,0,0,0.0,0.0,0,0,0.8,0.3,3,3
394,22417,Kristian Wilkerson,WR,LV,,,,,,3,0,,,,,,,0,,,,,0.0,0.0,0,0,2.5,1.0,2,3
395,22569,Dee Eskridge,WR,MIA,,,1,0,,,,1,0,,,,,0,,,1,,3.8,1.0,1,1,1.6,0.5,3,3
396,22973,Austin Trammell,WR,JAX,,,,,,,,,3,,,,,,,,,,9.7,3.0,0,0,9.7,3.0,2,3
397,21798,Josiah Deguara,TE,JAX,,,1,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,1.1,0.3,1,1,0.6,0.2,3,3
398,25065,Jacob Kibodi,RB,CLE,,,,,,,,,,,,,,,,,,3,8.8,3.0,1,3,8.8,3.0,1,3
399,23231,Tyler Badie,RB,DEN,,1,0,2,,,,,,,,,,,,,,,8.0,2.0,0,0,3.1,1.0,3,3
400,23586,Julius Chestnut,RB,TEN,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,1.1,0.3,0,1,0.6,0.2,2,3
401,21804,DeeJay Dallas,RB,ARI,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,2.6,1.0,3,3,0.6,0.2,3,3
402,25132,Jha'Quan Jackson,WR,TEN,0,0,0,0,,0,0,1,2,0,0,0,0,,,,,,0.0,0.0,0,0,0.8,0.2,1,3
403,20810,Travis Homer,RB,CHI,0,0,,,,,,0,0,0,0,0,0,3,0,,,,0.0,0.0,0,0,0.9,0.3,3,3
404,23273,Hassan Haskins,RB,LAC,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,1,0,2.8,1.0,3,3,0.6,0.2,3,3
405,21723,James Proche II,WR,CLE,,0,0,1,0,,,,,,,,,2,0,0,0,0,0.0,0.0,0,0,0.9,0.3,3,3
406,25104,Jaheim Bell,TE,NE,0,0,0,,,0,0,0,1,0,1,0,0,,0,0,0,1,1.1,0.3,1,1,0.6,0.2,2,3
407,22498,Feleipe Franks,TE,CAR,0,0,0,1,0,0,0,0,,0,,0,1,0,0,0,0,1,1.1,0.3,1,1,0.6,0.2,1,3
408,23168,Skyy Moore,WR,KC,0,0,0,2,0,,1,,,,,,,,,,,,3.7,1.0,0,0,1.6,0.5,0,3
409,21383,Jody Fortson,TE,KC,,,,,1,,1,1,,,,,,,,,,,2.6,1.0,0,0,2.9,1.0,1,3
410,22506,Brevin Jordan,TE,HOU,2,1,,,,,,,,,,,,,,,,,2.8,1.0,0,0,4.4,1.5,2,3
411,25205,Isaiah Williams,WR,DET,,,,,,,,3,0,,,,0,0,0,0,0,0,0.0,0.0,0,0,1.1,0.4,2,3
412,22661,Jack Stoll,TE,MIA,,,0,2,,0,0,1,0,0,0,,,,,0,0,0,0.0,0.0,0,0,1.0,0.3,2,3
413,21294,Alex Bachman,WR,LV,,,,0,0,3,0,0,0,,,,,,,,,,0.0,0.0,0,0,1.4,0.5,3,3
414,21837,J.J. Taylor,RB,HOU,,,2,1,0,,,,0,0,,,,,,,,,0.0,0.0,0,0,1.6,0.6,2,3
415,24978,Devontez Walker,WR,BAL,,,,,,,0,0,0,0,,0,,,1,0,2,0,2.8,0.7,0,2,1.3,0.3,1,3
416,24930,Sione Vaki,RB,DET,0,1,0,0,,0,0,0,,0,0,0,0,0,0,2,0,0,2.0,0.7,2,2,0.6,0.2,3,3
417,20159,Mike Boone,RB,CAR,0,,0,,,,,,,,,,,,0,0,2,1,3.4,1.0,1,3,1.6,0.5,1,3
418,24944,Jonathon Brooks,RB,CAR,,,,,,,,,,,,0,3,0,,,,,0.0,0.0,0,0,2.6,1.0,3,3
419,18881,John Ross,WR,PHI,,,,2,,,,,,,,,,,,,,,6.7,2.0,0,0,6.7,2.0,1,2
420,25050,Chris Collier,RB,BAL,,,0,,0,,0,0,0,,,,,,,0,0,2,1.8,0.7,1,2,0.8,0.2,1,2
421,23659,Tay Martin,WR,TEN,,,,,,,,,,,,,,,,,,2,7.7,2.0,1,2,7.7,2.0,1,2
422,22667,Zach Davidson,TE,BUF,,,,,,,,,,,1,,1,0,,,,,0.0,0.0,0,0,2.1,0.7,1,2
423,25045,Rasheen Ali,RB,BAL,,,,,,0,,,,,,,0,,0,0,0,2,2.8,0.7,0,2,1.3,0.3,0,2
424,25032,Xavier Weaver,WR,ARI,,,,,,1,,,,,,,,,,,,1,2.9,1.0,0,1,3.0,1.0,0,2
425,24800,E.J. Jenkins,TE,PHI,0,0,,,,,,,0,,,,,0,0,0,1,1,2.3,0.7,1,2,0.9,0.2,1,2
426,21730,Collin Johnson,WR,CHI,,0,0,,,,,,,,,0,0,1,0,1,0,0,1.0,0.3,0,1,0.6,0.2,1,2
427,22415,Mason Kinsey,WR,TEN,,,,,,,,0,,,,,,0,1,1,0,0,1.1,0.3,1,1,1.0,0.3,2,2
428,3061,Marcedes Lewis,TE,CHI,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.4,0.1,1,2
429,24149,Brayden Willis,TE,SF,,,0,,,,,0,,,0,0,0,0,0,0,0,2,1.6,0.7,0,2,0.6,0.2,0,2
430,25304,Casey Washington,WR,ATL,,,0,,0,,1,0,0,0,1,,0,,,,,0,0.0,0.0,0,0,0.6,0.2,1,2
431,25047,Blake Watson,RB,DEN,,,,,0,,,,,,,,,,,2,,,5.0,2.0,1,2,3.0,1.0,1,2
432,22488,Chris Blair,WR,ATL,0,,,,,,,,,,,,,,,1,1,0,2.0,0.7,1,2,1.6,0.5,1,2
433,24743,Xavier Smith,WR,LAR,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.4,0.1,2,2
434,25647,David Martin-Robinson,TE,TEN,,,,,,,,,,,,,,1,0,1,0,0,1.1,0.3,1,1,1.2,0.4,1,2
435,21760,Isaiah Hodgins,WR,NYG,,,,,0,1,,,,1,,,,,,,,,2.7,1.0,0,0,1.8,0.7,2,2
436,21227,Andrew Beck,FB,GB,,,,,0,1,0,,,,,,,,,1,,,2.6,1.0,0,1,1.5,0.5,0,2
437,23325,Erik Ezukanma,WR,MIA,,,2,,,,,,,,,,,,,0,,,0.0,0.0,0,0,3.0,1.0,0,2
438,17946,Taylor Decker,OT,DET,0,0,0,0,,1,0,0,0,,0,0,,,0,0,0,0,0.0,0.0,0,0,0.2,0.1,0,1
439,20065,Trent Scott,OT,WAS,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
440,25090,Terrell Jennings,RB,NE,,,,,,0,,,,,,,,,,0,,1,1.5,0.5,0,1,1.0,0.3,0,1
441,24738,John Samuel Shenker,TE,LV,,,,0,0,0,0,1,,,,,,,,0,0,0,0.0,0.0,0,0,0.4,0.1,1,1
442,23503,Vederian Lowe,OT,NE,0,0,,,0,0,,0,0,0,1,0,0,,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
443,22226,Sam Franklin Jr.,S,CAR,,,,,,,,1,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0.3,0.1,0,1
444,25642,Kameron Johnson,WR,TB,0,0,,1,0,,,,,,,,,,,,0,,0.0,0.0,0,0,0.7,0.2,0,1
445,24160,Wanya Morris,OT,KC,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
446,23507,Tyler Smith,G,DAL,0,0,1,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
447,23421,Marcus Jones,CB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,4.3,1.0,0,0,0.2,0.1,1,1
448,23237,Chris Rodriguez Jr.,RB,WAS,0,,,0,,0,,,0,0,,,0,,0,0,1,0,0.9,0.3,1,1,0.3,0.1,1,1
449,23211,MarShawn Lloyd,RB,GB,,1,,,,,,,,,,,,,,,,,7.1,1.0,0,0,7.1,1.0,1,1
450,17922,Jared Goff,QB,DET,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
451,23996,Kendric Pryor,WR,CIN,,,,,,,,,1,,,,,,,,,0,0.0,0.0,0,0,1.2,0.5,1,1
452,24220,Tyler Scott,WR,CHI,,0,0,0,0,0,,,0,,0,,,,1,0,0,0,0.0,0.0,0,0,0.3,0.1,1,1
453,22068,James Pierre,CB,PIT,,,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,0,1
454,23239,C.J. Stroud,QB,HOU,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.0,0.0,0,0,0.2,0.1,0,1
455,22614,Kadarius Toney,WR,CLE,,,,,,,,,,,0,,1,0,,,,,0.0,0.0,0,0,0.7,0.3,0,1
456,18890,Patrick Mahomes,QB,KC,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,0.2,0.1,1,1
457,25069,Bo Nix,QB,DEN,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
458,23624,Dareke Young,WR,SEA,1,0,0,0,0,,0,0,0,,,0,,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,0,1
459,23614,John FitzPatrick,TE,GB,,,,,,,,0,0,,0,1,,0,0,0,0,0,0.0,0.0,0,0,0.4,0.1,1,1
460,21556,Tom Kennedy,WR,DET,0,1,,,,,,,,,,,,,,0,0,,0.0,0.0,0,0,0.7,0.2,0,1
461,23962,Irvin Charles,WR,NYJ,0,0,0,0,0,0,1,0,0,0,0,,0,0,,,,,0.0,0.0,0,0,0.2,0.1,0,1
462,25328,Baylor Cupp,TE,KC,,,,,,,,,,,,,,1,,,,,2.7,1.0,0,0,2.7,1.0,0,1
463,23481,Velus Jones Jr.,WR,CHI,1,,,,,,,,,,,,,,0,,0,,0.0,0.0,0,0,1.2,0.3,1,1
464,24962,JC Latham,OT,TEN,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
465,19064,Trent Taylor,WR,SF,,,,,0,,,,,,,,,,,,,1,2.3,1.0,1,1,1.3,0.5,1,1
466,24511,Tyrell Shavers,WR,BUF,,,,,0,,,,,0,,,,,,,1,,3.6,1.0,1,1,1.1,0.3,1,1
467,17337,C.J. Goodwin,CB,DAL,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,0,1
468,19624,Dan Skipper,OT,DET,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
469,24644,Ben VanSumeren,LB,PHI,0,0,0,0,,0,0,0,1,0,0,0,,,,,,,0.0,0.0,0,0,0.3,0.1,1,1
470,23926,Mike Caliendo,G,KC,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
471,25049,Cody Schrader,RB,LAR,,,,,,,,,,,,,,,,,,1,2.4,1.0,1,1,2.4,1.0,1,1
472,22555,Jermar Jefferson,RB,DET,,,,,,,,,,,,,,,,1,0,,1.5,0.5,1,1,1.5,0.5,1,1
473,22596,Jaelon Darden,WR,SEA,0,,,,,1,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
474,23196,George Holani,RB,SEA,,0,,,,,,,,,,,,1,0,,0,0,0.0,0.0,0,0,0.6,0.2,1,1
475,25112,Jared Wiley,TE,KC,0,1,0,0,0,,0,0,,,,,,,,,,,0.0,0.0,0,0,0.4,0.1,1,1
476,23163,Justyn Ross,WR,KC,,,,,,,,,0,1,,,,,,,,,2.4,1.0,0,0,1.2,0.5,0,1
477,23084,Shane Zylstra,TE,DET,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.3,0.1,1,1
478,25126,Anthony Gould,WR,IND,0,0,0,,,,,,,,,,0,,1,0,0,0,0.0,0.0,0,0,0.4,0.1,1,1
479,24117,Anthony Richardson Sr.,QB,IND,0,0,0,0,,,0,0,,,0,0,0,,1,0,,,0.0,0.0,0,0,0.3,0.1,1,1
480,21865,Stephen Sullivan,TE,CAR,,,,,,,,,,,,,1,,,,,,2.2,1.0,0,0,2.2,1.0,0,1
481,24122,Charlie Jones,WR,CIN,1,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0,0,0.4,0.1,1,1
482,17005,Geoff Swaim,TE,CLE,,,0,0,0,0,0,1,0,,0,,,,,,,,0.0,0.0,0,0,0.3,0.1,1,1
483,24214,Keaton Mitchell,RB,BAL,,,,,,,,,,0,0,0,,,,,1,0,2.0,0.5,1,1,0.7,0.2,1,1
484,20361,Ross Dwelley,TE,ATL,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
485,20768,Myles Gaskin,RB,MIN,0,0,0,0,1,,,,,,,,,,,,,,3.1,1.0,0,0,0.7,0.2,1,1
486,23763,Brandon Johnson,WR,PIT,,,,,1,,0,0,,,,,,,,,,,0.0,0.0,0,0,1.2,0.3,1,1
487,23327,Juanyeh Thomas,S,DAL,0,0,0,0,0,0,,0,0,,1,0,0,,,,0,0,0.0,0.0,0,0,0.2,0.1,1,1
488,22767,Divine Deablo,LB,LV,0,0,,,,0,0,0,0,,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.2,0.1,1,1
489,24296,Brycen Tremayne,WR,WAS,,,,,1,,,,,,,,,,,,0,,0.0,0.0,0,0,1.6,0.5,1,1
490,15974,Jordan Matthews,TE,CAR,1,0,,,,,,,0,0,,,,,,,,,0.0,0.0,0,0,0.9,0.2,0,1
491,19871,Sam Hubbard,DE,CIN,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,2.7,1.0,0,0,0.2,0.1,1,1
492,25486,Brenden Bates,TE,NYJ,,0,0,0,0,0,,,,,,,,,,,0,1,1.2,0.5,0,1,0.4,0.1,0,1
493,18872,Dalvin Cook,RB,DAL,,,,,,,,1,0,,,,,,,,,,0.0,0.0,0,0,1.1,0.5,1,1
494,19864,Anthony Miller,WR,BAL,,,,,,,,,,,,,,,,0,1,,2.5,0.5,1,1,2.5,0.5,1,1
495,19953,D.J. Reed,CB,NYJ,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
496,25025,Joe Milton III,QB,NE,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0
