rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
195,19238,Taysom Hill,QB,NO,2,1,,0,,,,4,5,2,10,,7,,,,,,18.9,7.0,0,0,12.9,3.9,23,31
196,22823,Kylen Granson,TE,IND,1,2,1,0,0,1,2,2,1,2,2,2,3,,4,0,4,4,9.0,2.7,4,8,6.0,1.8,14,31
197,14871,Robert Woods,WR,HOU,0,0,2,3,0,,,2,3,3,2,1,1,,2,6,2,3,11.1,3.7,7,11,5.8,2.0,20,30
198,23486,Grant Calcaterra,TE,PHI,1,2,0,2,,4,1,3,5,1,0,1,0,3,1,0,2,4,6.8,2.0,3,6,6.7,1.8,24,30
199,20933,Miles Sanders,RB,CAR,2,3,2,4,3,1,2,7,2,0,,,,,,,,4,11.4,4.0,3,4,8.6,2.7,24,30
200,24397,Jalen Brooks,WR,DAL,1,3,3,0,1,6,,1,5,4,,3,1,,1,,1,0,1.6,0.5,1,1,5.8,2.1,12,30
201,21861,Antonio Gibson,RB,NE,0,1,3,4,1,4,1,0,1,0,1,2,0,,2,2,1,6,10.0,3.0,6,9,5.5,1.7,23,29
202,24120,Rashee Rice,WR,KC,9,6,14,0,,,,,,,,,,,,,,,0.0,0.0,0,0,24.0,7.2,24,29
203,16781,Nelson Agholor,WR,BAL,1,3,1,3,4,3,2,5,1,2,1,0,2,,1,,,,4.0,1.0,0,0,7.2,2.1,14,29
204,22644,DJ Turner,WR,LV,1,0,0,1,4,4,7,4,0,,3,4,1,,,,,,2.9,1.0,0,0,6.4,2.4,16,29
205,25201,Jordan Whittington,WR,LAR,0,2,3,8,10,,0,,,0,0,0,0,0,0,0,1,4,5.4,1.7,4,5,5.8,1.9,22,28
