rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
192,25205,Isaiah Williams,CIN,WR,3,2,6,0,0.0,0.0,0.0,0,0,,3.0,2.0,0.0,0,0.0
193,25132,Jha'Quan Jackson,TEN,WR,3,1,8,0,4.2,2.0,100.0,0,0,,8.0,2.7,0.7,0,0.0
194,22973,Austin Trammell,JAX,WR,3,2,40,0,0.0,0.0,0.0,0,0,,20.0,13.3,0.0,0,0.0
195,23168,Skyy Moore,KC,WR,3,0,0,0,4.3,0.7,0.0,0,0,,0.0,0.0,0.0,1,33.3
196,21723,James Proche II,CLE,WR,3,3,21,0,5.6,0.7,150.0,0,0,,7.0,7.0,3.0,0,0.0
197,25032,Xavier Weaver,ARI,WR,2,0,0,0,4.8,0.5,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0
198,18881,John Ross,PHI,WR,2,1,6,0,0.0,0.0,0.0,0,0,,6.0,3.0,0.0,0,0.0
199,22415,Mason Kinsey,TEN,WR,2,2,17,0,6.2,2.0,100.0,1,1,100.0,8.5,8.5,1.3,0,0.0
200,25304,Casey Washington,ATL,WR,2,1,14,0,4.0,1.5,100.0,1,0,0.0,14.0,7.0,4.7,0,0.0
201,24743,Xavier Smith,LAR,WR,2,2,6,0,3.2,2.5,100.0,0,0,,3.0,3.0,1.2,0,0.0
202,21760,Isaiah Hodgins,NYG,WR,2,2,12,0,4.6,2.0,100.0,0,0,,6.0,6.0,0.5,0,0.0
203,23325,Erik Ezukanma,MIA,WR,2,0,0,0,4.5,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
204,21730,Collin Johnson,CHI,WR,2,1,6,0,4.8,2.0,50.0,0,0,,6.0,3.0,1.2,0,0.0
205,22488,Chris Blair,ATL,WR,2,1,17,0,5.7,0.5,100.0,0,0,,17.0,8.5,2.8,0,0.0
206,23996,Kendric Pryor,CIN,WR,1,1,9,0,0.0,0.0,0.0,0,0,,9.0,9.0,0.0,0,0.0
207,19864,Anthony Miller,BAL,WR,1,1,16,0,0.0,0.0,0.0,0,0,,16.0,16.0,0.0,0,0.0
208,23962,Irvin Charles,NYJ,WR,1,0,0,0,8.5,1.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
209,23624,Dareke Young,SEA,WR,1,0,0,0,5.6,1.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
210,19064,Trent Taylor,SF,WR,1,1,11,0,7.5,0.0,0.0,0,0,,11.0,11.0,5.5,0,0.0
211,24122,Charlie Jones,CIN,WR,1,1,5,0,3.7,2.0,100.0,0,0,,5.0,5.0,0.3,0,0.0
212,25126,Anthony Gould,IND,WR,1,1,23,0,7.3,4.0,100.0,0,0,,23.0,23.0,3.8,0,0.0
213,25642,Kameron Johnson,TB,WR,1,0,0,0,5.7,3.0,0.0,0,0,,0.0,0.0,0.0,1,100.0
214,23163,Justyn Ross,KC,WR,1,0,0,0,3.2,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
215,23481,Velus Jones Jr.,CAR,WR,1,1,8,0,1.7,5.0,100.0,0,0,,8.0,8.0,2.7,0,0.0
216,24296,Brycen Tremayne,WAS,WR,1,1,-2,0,2.5,2.0,100.0,0,0,,-2.0,-2.0,-1.0,0,0.0
217,21556,Tom Kennedy,DET,WR,1,0,0,0,8.5,2.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
218,22614,Kadarius Toney,CLE,WR,1,0,0,0,5.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
219,22596,Jaelon Darden,SEA,WR,1,1,6,0,4.0,3.0,100.0,0,0,,6.0,6.0,0.4,0,0.0
220,24220,Tyler Scott,CHI,WR,1,1,5,0,6.2,2.0,100.0,0,0,,5.0,5.0,1.0,0,0.0
221,24511,Tyrell Shavers,BUF,WR,1,1,69,1,5.5,2.0,100.0,0,0,,69.0,69.0,5.3,0,0.0
222,23763,Brandon Johnson,PIT,WR,1,1,9,0,6.7,4.0,100.0,0,0,,9.0,9.0,1.0,0,0.0
223,18030,Chris Moore,ARI,WR,0,0,0,0,7.1,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
224,20963,Cody Thompson,TB,WR,0,0,0,0,8.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
225,21750,Marquez Callaway,TB,WR,0,0,0,0,7.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
226,21163,Deonte Harty,BAL,WR,0,0,0,0,4.3,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
227,23642,Jalen Virgil,BUF,WR,0,0,0,0,6.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
228,24073,Maurice Alexander,DET,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
229,24598,Jared Wayne,HOU,WR,0,0,0,0,3.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
230,25039,Roman Wilson,PIT,WR,0,0,0,0,6.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
231,25313,Joshua Cephus,JAX,WR,0,0,0,0,4.8,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
232,18197,Alex Erickson,NE,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
233,24199,Bryce Ford-Wheaton,NYG,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
234,17914,Laquon Treadwell,IND,WR,0,0,0,0,5.5,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
235,24755,Elijah Cooks,JAX,WR,0,0,0,0,4.8,0.0,,0,0,,0.0,0.0,0.0,0,0.0
236,23604,Montrell Washington,KC,WR,0,0,0,0,5.5,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
237,22591,Dez Fitzpatrick,LAC,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
238,25511,Jaylen Johnson,LAC,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
239,21725,Trishton Jackson,MIN,WR,0,0,0,0,3.2,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
240,19172,Zach Pascal,ARI,WR,0,0,0,0,5.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
241,22637,Brandon Smith,NYJ,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
242,23765,Tyreik McAllister,LV,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
243,23467,Jalen Cropper,DAL,WR,0,0,0,0,5.6,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
244,22595,Ihmir Smith-Marsette,NYG,WR,0,0,0,0,5.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
245,25370,Jermaine Jackson,NO,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
246,20398,Equanimeous St. Brown,NO,WR,0,0,0,0,6.2,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
247,25101,Brenden Rice,LAC,WR,0,0,0,0,2.5,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
248,21400,Steven Sims,BAL,WR,0,0,0,0,4.3,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0
